	run	biosample	breed	country	direction
61	ERR1747035	SAMEA19867168	Holstein - female	AM	WHOLE
62	ERR1747036	SAMEA19867918	Limousin - male	FR	CS
63	ERR1747037	SAMEA19868668	Simmental	SW	W
64	ERR1747038	SAMEA19869418	Simmental - female	SW	W
65	ERR1747039	SAMEA19870168	Simmental - male	SW	W
66	ERR1747040	SAMEA19871668	Holstein	AM	WHOLE
67	ERR1747041	SAMEA19872418	Piemontese x Normande	IT	NW
68	ERR1747042	SAMEA19873168	Holstein x Simmental - female	AM	WHOLE
69	ERR1747043	SAMEA19873918	Scotish Highland Cattle - female	SC	WHOLE
70	ERR1747044	SAMEA19874668	Holstein	AM	WHOLE
71	ERR1747045	SAMEA19875418	Simmental	SW	W
72	ERR1747046	SAMEA19876168	Romagnola - female	IT	N
73	ERR1747047	SAMEA19876918	Holstein - female	AM	WHOLE
74	ERR1747048	SAMEA19877668	Simmental	SW	W
75	ERR1766308	SAMEA32979418	Holstein x Simmental - female	AM	WHOLE
76	ERR1766310	SAMEA32980918	Brown Swiss - male	SW	E
77	ERR1766311	SAMEA32981668	Brown Swiss - female	SW	E
78	ERR1766312	SAMEA32982418	Brown Swiss - female	SW	E
79	ERR1766313	SAMEA32983168	Holstein - female	AM	WHOLE
80	ERR1766314	SAMEA32983918	Holstein - male	AM	WHOLE
81	ERR1766315	SAMEA32984668	Holstein	AM	WHOLE
82	ERR1766316	SAMEA32985418	Limousin - male	FR	CS
83	ERR1766317	SAMEA32986918	Holstein	AM	WHOLE
84	ERR1766318	SAMEA32987668	Romagnola - female	IT	N
85	ERR1766319	SAMEA32988418	Romagnola	IT	N
86	ERR1766320	SAMEA32989168	Romagnola - male	IT	N
87	ERR1766321	SAMEA32989918	Cika - male	SL	WHOLE
88	ERR1766322	SAMEA32990668	Holstein - female	AM	WHOLE
89	ERR1766323	SAMEA32991418	Holstein - male	AM	WHOLE
90	ERR1766324	SAMEA32992168	Holstein - female	AM	WHOLE
91	ERR1766325	SAMEA32992918	Limousin x Brown Swiss - female	FRxSW	mixed
92	ERR1766446	SAMEA32995168	Holstein	AM	WHOLE
93	ERR1766447	SAMEA32995918	Holstein - male	AM	WHOLE
94	ERR1766448	SAMEA32996668	Holstein - female	AM	WHOLE
95	ERR1766449	SAMEA32997418	Brown Swiss - female	SW	E
96	ERR1766450	SAMEA32998168	Chianina	IT	N
97	ERR1766451	SAMEA32998918	Holstein	AM	WHOLE
98	ERR1766452	SAMEA32999668	Chianina - male	IT	N
99	ERR1766453	SAMEA33000418	Holstein - female	AM	WHOLE
100	ERR1766454	SAMEA33001168	Normande - female	FR	NW
101	ERR1766455	SAMEA33001918	Piemontese - male	IT	NW
102	ERR1772195	SAMEA38972668	Hinterwalder	DU	S
103	ERR1772196	SAMEA38973418	Hinterwalder	DU	S
104	ERR1772197	SAMEA38974168	Vorderwalder	DU	SW
105	ERR1772198	SAMEA38974918	Hinterwalder	DU	S
106	ERR1772199	SAMEA38975668	Vorderwalder	DU	SW
107	ERR1792651	SAMEA47262418	Vorderwalder	DU	SW
108	ERR2561386	SAMEA4644726	Holstein - male	AM	WHOLE
109	ERR2561387	SAMEA4644727	Brown Swiss - female	SW	E
110	ERR2561388	SAMEA4644728	Brown Swiss - female	SW	E
111	ERR2561389	SAMEA4644729	Holstein - female	AM	WHOLE
112	ERR2561390	SAMEA4644730	Original Braunvieh - male	SW	C
113	ERR2561391	SAMEA4644731	Holstein - female	AM	WHOLE
114	ERR2561392	SAMEA4644732	Holstein - female	AM	WHOLE
115	ERR2561393	SAMEA4644733	Holstein - female	AM	WHOLE
116	ERR2561394	SAMEA4644734	Original Braunvieh - female	SW	C
117	ERR2561395	SAMEA4644735	Brown Swiss - male	SW	E
118	ERR2561396	SAMEA4644736	Holstein - male	AM	WHOLE
119	ERR2561397	SAMEA4644737	Holstein - female	AM	WHOLE
120	ERR2561398	SAMEA4644738	Holstein - male	AM	WHOLE
121	ERR2561399	SAMEA4644739	Brown Swiss - female	SW	E
122	ERR2561400	SAMEA4644740	Original Braunvieh - male	SW	C
123	ERR2561401	SAMEA4644741	Original Braunvieh - male	SW	C
124	ERR2561402	SAMEA4644742	Brown Swiss - male	SW	E
125	ERR2561403	SAMEA4644743	Brown Swiss - male	SW	E
126	ERR2561404	SAMEA4644744	Simmental - male	SW	W
127	ERR2561405	SAMEA4644745	Simmental - male	SW	W
128	ERR2561406	SAMEA4644746	Holstein - male	AM	WHOLE
129	ERR2561407	SAMEA4644747	Holstein - male	AM	WHOLE
130	ERR2561408	SAMEA4644748	Holstein - male	AM	WHOLE
131	ERR2561409	SAMEA4644749	Original Braunvieh - female	SW	C
132	ERR2561410	SAMEA4644750	Original Braunvieh - female	SW	C
133	ERR2561411	SAMEA4644751	Holstein - female	AM	WHOLE
134	ERR2561412	SAMEA4644752	Shorthorn - female	UK	NE
135	ERR2561413	SAMEA4644753	Holstein - male	AM	WHOLE
136	ERR2561414	SAMEA4644754	Brown Swiss - female	SW	E
137	ERR2561415	SAMEA4644755	Brown Swiss - female	SW	E
138	ERR2561416	SAMEA4644756	Brown Swiss - male	SW	E
139	ERR2561417	SAMEA4644757	Brown Swiss - male	SW	E
140	ERR2561418	SAMEA4644758	Brown Swiss - female	SW	E
141	ERR2561419	SAMEA4644759	Holstein - female	AM	WHOLE
142	ERR2561420	SAMEA4644760	Holstein - female	AM	WHOLE
143	ERR2561421	SAMEA4644761	Holstein - male	AM	WHOLE
144	ERR2561422	SAMEA4644762	Brown Swiss - female	SW	E
145	ERR2561423	SAMEA4644763	Brown Swiss - female	SW	E
146	ERR2561424	SAMEA4644764	Original Braunvieh - female	SW	C
147	ERR2561425	SAMEA4644765	Brown Swiss - female	SW	E
148	ERR2561426	SAMEA4644766	Brown Swiss - female	SW	E
149	ERR2561427	SAMEA4644767	Holstein - female	AM	WHOLE
150	ERR2561428	SAMEA4644768	Original Braunvieh - female	SW	C
151	ERR2561429	SAMEA4644769	Brown Swiss - female	SW	E
152	ERZ1738264	SAMEA4827645	key animals from the Original Braunvieh cattle breed	SW	C
153	ERZ1738264	SAMEA4827646	key animals from the Original Braunvieh cattle breed	SW	C
154	ERZ1738264	SAMEA4827647	key animals from the Original Braunvieh cattle breed	SW	C
155	ERZ1738264	SAMEA4827648	key animals from the Original Braunvieh cattle breed	SW	C
156	ERZ1738264	SAMEA4827649	key animals from the Original Braunvieh cattle breed	SW	C
157	ERZ1738264	SAMEA4827650	key animals from the Original Braunvieh cattle breed	SW	C
158	ERZ1738264	SAMEA4827651	key animals from the Original Braunvieh cattle breed	SW	C
159	ERZ1738264	SAMEA4827652	key animals from the Original Braunvieh cattle breed	SW	C
160	ERZ1738264	SAMEA4827653	key animals from the Original Braunvieh cattle breed	SW	C
161	ERZ1738264	SAMEA4827654	key animals from the Original Braunvieh cattle breed	SW	C
162	ERZ1738264	SAMEA4827655	key animals from the Original Braunvieh cattle breed	SW	C
163	ERZ1738264	SAMEA4827656	key animals from the Original Braunvieh cattle breed	SW	C
164	ERZ1738264	SAMEA4827657	key animals from the Original Braunvieh cattle breed	SW	C
165	ERZ1738264	SAMEA4827658	key animals from the Original Braunvieh cattle breed	SW	C
166	ERZ1738264	SAMEA4827659	key animals from the Original Braunvieh cattle breed	SW	C
167	ERZ1738264	SAMEA4827660	key animals from the Original Braunvieh cattle breed	SW	C
168	ERZ1738264	SAMEA4827661	key animals from the Original Braunvieh cattle breed	SW	C
169	ERZ1738264	SAMEA4827662	key animals from the Original Braunvieh cattle breed	SW	C
170	ERZ1738264	SAMEA4827663	key animals from the Original Braunvieh cattle breed	SW	C
171	ERZ1738264	SAMEA4827664	key animals from the Original Braunvieh cattle breed	SW	C
172	ERZ1738264	SAMEA4827665	key animals from the Original Braunvieh cattle breed	SW	C
173	ERZ1738264	SAMEA4827666	key animals from the Original Braunvieh cattle breed	SW	C
174	ERZ1738264	SAMEA4827667	key animals from the Original Braunvieh cattle breed	SW	C
175	ERZ1738264	SAMEA4827668	key animals from the Original Braunvieh cattle breed	SW	C
176	ERZ1738264	SAMEA4827669	key animals from the Original Braunvieh cattle breed	SW	C
177	ERZ1738264	SAMEA4827670	key animals from the Original Braunvieh cattle breed	SW	C
178	ERZ1738264	SAMEA4827671	key animals from the Original Braunvieh cattle breed	SW	C
179	ERZ1738264	SAMEA4827672	key animals from the Original Braunvieh cattle breed	SW	C
180	ERZ1738264	SAMEA4827673	key animals from the Original Braunvieh cattle breed	SW	C
181	ERZ1738264	SAMEA4827674	key animals from the Original Braunvieh cattle breed	SW	C
182	ERZ1738264	SAMEA5059741	Sequencing of Original Braunvieh animals	SW	C
183	ERZ1738264	SAMEA5059742	Sequencing of Original Braunvieh animals	SW	C
184	ERZ1738264	SAMEA5059743	Sequencing of Original Braunvieh animals	SW	C
185	ERZ1738264	SAMEA5059744	Sequencing of Original Braunvieh animals	SW	C
186	ERZ1738264	SAMEA5059745	Sequencing of Original Braunvieh animals	SW	C
187	ERZ1738264	SAMEA5059746	Sequencing of Original Braunvieh animals	SW	C
188	ERZ1738264	SAMEA5059747	Sequencing of Original Braunvieh animals	SW	C
189	ERZ1738264	SAMEA5059748	Sequencing of Original Braunvieh animals	SW	C
190	ERZ1738264	SAMEA5059749	Sequencing of Original Braunvieh animals	SW	C
191	ERZ1738264	SAMEA5059750	Sequencing of Original Braunvieh animals	SW	C
192	ERZ1738264	SAMEA5059751	Sequencing of Original Braunvieh animals	SW	C
193	ERZ1738264	SAMEA5059752	Sequencing of Original Braunvieh animals	SW	C
194	ERZ1738264	SAMEA5059753	Sequencing of Original Braunvieh animals	SW	C
195	ERZ1738264	SAMEA5059754	Sequencing of Original Braunvieh animals	SW	C
196	ERZ1738264	SAMEA5059755	Sequencing of Original Braunvieh animals	SW	C
197	ERZ1738264	SAMEA5059756	Sequencing of Original Braunvieh animals	SW	C
198	ERZ1738264	SAMEA5059757	Sequencing of Original Braunvieh animals	SW	C
199	ERZ1738264	SAMEA5059758	Sequencing of Original Braunvieh animals	SW	C
200	ERZ1738264	SAMEA5059759	Sequencing of Original Braunvieh animals	SW	C
201	ERR2985346	SAMEA5159760	Simmental - male	SW	W
202	ERR2985347	SAMEA5159761	Brown Swiss - male	SW	E
203	ERR2985348	SAMEA5159762	Simmental x Holstein - female	SW	W
204	ERR2985349	SAMEA5159763	Limousin - female	FR	CS
205	ERR2985350	SAMEA5159764	Simmental x Holstein - male	SW	W
206	ERR2985351	SAMEA5159765	Simmental - male	SW	W
207	ERR2985352	SAMEA5159766	Simmental - male	SW	W
208	ERR2985353	SAMEA5159767	Original Braunvieh - male	SW	C
209	ERR2985354	SAMEA5159768	Original Braunvieh - male	SW	C
210	ERR2985355	SAMEA5159769	Brown Swiss- male	SW	E
211	ERR2985356	SAMEA5159770	Brown Swiss - male	SW	E
212	ERR2985357	SAMEA5159771	Brown Swiss - male	SW	E
213	ERR2985358	SAMEA5159772	Brown Swiss - male	SW	E
214	ERR2985359	SAMEA5159773	Brown Swiss - male	SW	E
215	ERR2985360	SAMEA5159774	Brown Swiss - male	SW	E
216	ERR2985361	SAMEA5159775	Brown Swiss - male	SW	E
217	ERR2985362	SAMEA5159776	Original Braunvieh - male	SW	C
218	ERR2985363	SAMEA5159777	Brown Swiss - male	SW	E
219	ERR2985364	SAMEA5159778	Brown Swiss - male	SW	E
220	ERR2985365	SAMEA5159779	Brown Swiss - male	SW	E
221	ERR2985366	SAMEA5159780	Brown Swiss - male	SW	E
222	ERR2985367	SAMEA5159781	Brown Swiss - male	SW	E
223	ERR2985368	SAMEA5159782	Brown Swiss - male	SW	E
224	ERR2985369	SAMEA5159783	Brown Swiss - male	SW	E
225	ERR2985370	SAMEA5159784	Brown Swiss - male	SW	E
226	ERR2985371	SAMEA5159785	Brown Swiss - male	SW	E
227	ERR2985372	SAMEA5159786	Brown Swiss- male	SW	E
228	ERR2985373	SAMEA5159787	Brown Swiss - male	SW	E
229	ERR2985374	SAMEA5159788	Brown Swiss - male	SW	E
230	ERR2985375	SAMEA5159789	Original Braunvieh - male	SW	C
231	ERR2985376	SAMEA5159790	Original Braunvieh - male	SW	C
232	ERR2985377	SAMEA5159791	Brown Swiss - male	SW	E
233	ERR2985378	SAMEA5159792	Brown Swiss- male	SW	E
234	ERR2985379	SAMEA5159793	Brown Swiss - male	SW	E
235	ERR2985380	SAMEA5159794	Original Braunvieh - male	SW	C
236	ERR2985381	SAMEA5159795	Original Braunvieh - male	SW	C
237	ERR2985382	SAMEA5159796	Original Braunvieh - male	SW	C
238	ERR2985383	SAMEA5159797	Brown Swiss - male	SW	E
239	ERR2985384	SAMEA5159798	Brown Swiss - male	SW	E
240	ERR2985385	SAMEA5159799	Brown Swiss - male	SW	E
241	ERR2985386	SAMEA5159800	Simmental - male	SW	W
242	ERR2985387	SAMEA5159801	Simmental - male	SW	W
243	ERR2985388	SAMEA5159802	Holstein - male	AM	WHOLE
244	ERR2985389	SAMEA5159803	Simmental - male	SW	W
245	ERR2985390	SAMEA5159804	Holstein - male	AM	WHOLE
246	ERR2985391	SAMEA5159805	Simmental - male	SW	W
247	ERR2985392	SAMEA5159806	Simmental - male	SW	W
248	ERR2985393	SAMEA5159807	Simmental - male	SW	W
249	ERR2985394	SAMEA5159808	Holstein - male	AM	WHOLE
250	ERR2985395	SAMEA5159809	Holstein - male	AM	WHOLE
251	ERR2985396	SAMEA5159810	Holstein - male	AM	WHOLE
252	ERR2985397	SAMEA5159811	Simmental - male	SW	W
253	ERR2985398	SAMEA5159812	Simmental - male	SW	W
254	ERR2985399	SAMEA5159813	Holstein - male	AM	WHOLE
255	ERR2985400	SAMEA5159814	Holstein - male	AM	WHOLE
256	ERR2985401	SAMEA5159815	Holstein - male	AM	WHOLE
257	ERR2985402	SAMEA5159816	Holstein - male	AM	WHOLE
258	ERR2985403	SAMEA5159817	Holstein - male	AM	WHOLE
259	ERR2985404	SAMEA5159818	Holstein - male	AM	WHOLE
260	ERR2985405	SAMEA5159819	Holstein - male	AM	WHOLE
261	ERR2985406	SAMEA5159820	Holstein - male	AM	WHOLE
262	ERR2985407	SAMEA5159821	Holstein - male	AM	WHOLE
263	ERR2985408	SAMEA5159822	Holstein - male	AM	WHOLE
264	ERR2985409	SAMEA5159823	Simmental - male	SW	W
265	ERR2985410	SAMEA5159824	Simmental - male	SW	W
266	ERR2985411	SAMEA5159825	Simmental - male	SW	W
267	ERR2985412	SAMEA5159826	Holstein - male	AM	WHOLE
268	ERR2985413	SAMEA5159827	Simmental - male	SW	W
269	ERR2985414	SAMEA5159828	Holstein - male	AM	WHOLE
270	ERR2985415	SAMEA5159829	Scotish Highland - male	SC	WHOLE
271	ERR2985416	SAMEA5159830	Scotish Highland - female	SC	WHOLE
272	ERR2985417	SAMEA5159831	Scotish Highland - female	SC	WHOLE
273	ERR2985418	SAMEA5159832	Holstein - male	AM	WHOLE
274	ERR2985419	SAMEA5159833	Holstein - male	AM	WHOLE
275	ERR2985420	SAMEA5159834	Holstein - female	AM	WHOLE
276	ERR2985421	SAMEA5159835	Chianina-female	IT	N
277	ERR2985422	SAMEA5159836	Piemontese - female	IT	NW
278	ERR2985423	SAMEA5159837	Original Braunvieh - male	SW	C
279	ERR2985424	SAMEA5159839	Holstein - female	AM	WHOLE
280	ERR2985425	SAMEA5159840	Holstein - female	AM	WHOLE
281	ERR2985426	SAMEA5159841	Holstein - male	AM	WHOLE
282	ERR2985427	SAMEA5159842	Holstein - male	AM	WHOLE
283	ERR2985428	SAMEA5159843	Original Braunvieh - male	SW	C
284	ERR2985429	SAMEA5159844	Holstein-female	AM	WHOLE
285	ERR2985430	SAMEA5159845	Pinzgauer - male	AU	CW
286	ERR2985432	SAMEA5159847	Brown Swiss - male	SW	E
287	ERR2985433	SAMEA5159848	Original Braunvieh - male	SW	C
288	ERR2985434	SAMEA5159849	Original Braunvieh - male	SW	C
289	ERR2985435	SAMEA5159850	Original Braunvieh - male	SW	C
290	ERR2985438	SAMEA5159851	Australian Lowline - female	AS	WHOLE
291	ERR2985439	SAMEA5159853	Brown Swiss - female	SW	E
292	ERR2985440	SAMEA5159854	Holstein -female	AM	WHOLE
293	ERR2985441	SAMEA5159855	Holstein - male	AM	WHOLE
294	ERR2985443	SAMEA5159856	Holstein - female	AM	WHOLE
295	ERR2985442	SAMEA5159857	Holstein - male	AM	WHOLE
296	ERR2985444	SAMEA5159858	Holstein- female	AM	WHOLE
297	ERR2985445	SAMEA5159859	Holstein - female	AM	WHOLE
298	ERR2985446	SAMEA5159860	Holstein - male	AM	WHOLE
299	ERR2985447	SAMEA5159861	Brown Swiss - male	SW	E
300	ERR2985448	SAMEA5159862	Brown Swiss - male	SW	E
301	ERR2985449	SAMEA5159863	Brown Swiss - male	SW	E
302	ERR2985450	SAMEA5159864	Brown Swiss - male	SW	E
303	ERR2985451	SAMEA5159865	Brown Swiss - male	SW	E
304	ERR2985452	SAMEA5159866	Brown Swiss - male	SW	E
305	ERR2985453	SAMEA5159867	Brown Swiss - male	SW	E
306	ERR2985454	SAMEA5159868	Brown Swiss - male	SW	E
307	ERR2985455	SAMEA5159869	Brown Swiss - male	SW	E
308	ERR2985456	SAMEA5159870	Brown Swiss - male	SW	E
309	ERR2985457	SAMEA5159871	Brown Swiss- male	SW	E
310	ERR2985458	SAMEA5159872	Brown Swiss - male	SW	E
311	ERR2985459	SAMEA5159873	Brown Swiss - male	SW	E
312	ERR2985460	SAMEA5159874	Brown Swiss - male	SW	E
313	ERR2985461	SAMEA5159875	Brown Swiss - male	SW	E
314	ERR2985462	SAMEA5159876	Simmental - male	SW	W
315	ERR2985463	SAMEA5159877	Simmental - male	SW	W
316	ERR2985464	SAMEA5159878	Holstein - male	AM	WHOLE
317	ERR2985465	SAMEA5159879	Holstein - male	AM	WHOLE
318	ERR2985466	SAMEA5159880	Holstein - male	AM	WHOLE
319	ERR2985467	SAMEA5159881	Holstein - male	AM	WHOLE
320	ERR2985468	SAMEA5159882	Holstein - male	AM	WHOLE
321	ERR2985469	SAMEA5159883	Holstein - male	AM	WHOLE
322	ERR2985470	SAMEA5159884	Holstein - male	AM	WHOLE
323	ERR2985471	SAMEA5159885	Brown Swiss - male	SW	E
324	ERR2985472	SAMEA5159886	Original Braunvieh - female	SW	C
325	ERR2985473	SAMEA5159887	Tyrolean Grey - male	AU	W
326	ERR2985474	SAMEA5159888	Tyrolean Grey - female	AU	W
327	ERR2985475	SAMEA5159889	Tyrolean Grey - female	AU	W
328	ERR2985436	SAMEA5159890	Holstein - male	AM	WHOLE
329	ERR2985437	SAMEA5160021	Holstein - male	AM	WHOLE
330	ERR2985476	SAMEA5160152	Holstein	AM	WHOLE
331	ERR2985477	SAMEA5160153	Simmental	SW	W
332	ERR3212413	SAMEA5415483	Holstein - male	AM	WHOLE
333	ERR3212414	SAMEA5415484	Holstein - male	AM	WHOLE
334	ERR3212415	SAMEA5415485	Brown Swiss - female	SW	E
335	ERR3212416	SAMEA5415486	Brown Swiss - female	SW	E
336	ERR3212417	SAMEA5415487	Simmental - male	SW	W
337	ERR3212418	SAMEA5415488	Brown Swiss - female	SW	E
338	ERR3212419	SAMEA5415489	Brown Swiss - female	SW	E
339	ERR3212420	SAMEA5415490	Brown Swiss - male	SW	E
340	ERR3212421	SAMEA5415491	Belgium Blue - male	BE	WHOLE
341	ERR3212422	SAMEA5415492	Holstein - female	AM	WHOLE
342	ERR3212423	SAMEA5415493	Belgium Blue x Holstein- male	BExAM	mixed
343	ERR3212424	SAMEA5415494	Holstein - female	AM	WHOLE
344	ERR3212425	SAMEA5415495	Belgium Blue x Holstein - male	BExAM	mixed
345	ERR3212426	SAMEA5415496	Holstein - female	AM	WHOLE
346	ERR3212427	SAMEA5415497	Belgium Blue x Holstein - male	BExAM	mixed
347	ERR3212428	SAMEA5415498	Brown Swiss - male	SW	E
348	ERR3212429	SAMEA5415499	Simmental - male	SW	W
349	ERR3212430	SAMEA5415500	Holstein - male	AM	WHOLE
350	ERR3212431	SAMEA5415501	Holstein - male	AM	WHOLE
351	ERR3212432	SAMEA5415502	Holstein - male	AM	WHOLE
352	ERR3212433	SAMEA5415503	Holstein - female	AM	WHOLE
353	ERR3278188	SAMEA5564710	Simmental - male	SW	W
354	ERR3278189	SAMEA5564711	Simmental - male	SW	W
355	ERR3278190	SAMEA5564712	Simmental - male	SW	W
356	ERR3278191	SAMEA5564713	Simmental - male	SW	W
357	ERR3278192	SAMEA5564714	Simmental - male	SW	W
358	ERR3278193	SAMEA5564715	Simmental - male	SW	W
359	ERR3278194	SAMEA5564716	Brown Swiss - female	SW	E
360	ERR3278195	SAMEA5564717	Simmental - female	SW	W
361	ERR3278196	SAMEA5564718	Simmental - female	SW	W
362	ERR3278197	SAMEA5564719	Simmental - female	SW	W
363	ERR3278198	SAMEA5564720	Simmental - female	SW	W
364	ERR3278199	SAMEA5564721	Simmental - male	SW	W
365	ERR3278200	SAMEA5564722	Simmental -female	SW	W
366	ERR3278201	SAMEA5564723	Simmental - male	SW	W
367	ERR3278202	SAMEA5564724	Simmental - male	SW	W
368	ERR3278203	SAMEA5564725	Simmental - male	SW	W
369	ERR3278204	SAMEA5564726	Original Braunvieh - female	SW	C
370	ERR3278205	SAMEA5564727	Original Braunvieh - female	SW	C
371	ERR3278206	SAMEA5564728	Original Braunvieh - female	SW	C
372	ERR3278207	SAMEA5564729	Tyrolean Grey Cattle - male	AU	W
373	ERR3278208	SAMEA5564730	Tyrolean Grey Cattle - male	AU	W
374	ERR3278209	SAMEA5564731	Tyrolean Grey Cattle - male	AU	W
375	ERR3278210	SAMEA5564732	Tyrolean Grey Cattle - male	AU	W
376	ERR3278211	SAMEA5564733	Tyrolean Grey Cattle - male	AU	W
377	ERR3278212	SAMEA5564734	Tyrolean Grey Cattle - male	AU	W
378	ERR3278213	SAMEA5564735	Tyrolean Grey Cattle - male	AU	W
379	ERR3278214	SAMEA5564736	Tyrolean Grey Cattle - male	AU	W
380	ERR3278215	SAMEA5564737	Tyrolean Grey Cattle - male	AU	W
381	ERR3279807	SAMEA5566449	Simmental - female	SW	W
382	ERR3374907	SAMEA5714967	Eringer - female	SW	S
383	ERR3374908	SAMEA5714968	Evolne - female	SW	SW
384	ERR3374909	SAMEA5714969	Evolne - female	SW	SW
385	ERR3374910	SAMEA5714970	Scotish Highland Cattle - female	SC	WHOLE
386	ERR3374911	SAMEA5714971	Brown Swiss - female	SW	E
387	ERR3374912	SAMEA5714972	Original Braunvieh - male	SW	C
388	ERR3374913	SAMEA5714973	Angus x Simmental - male	SCxSW	W
389	ERR3374914	SAMEA5714974	Original Braunvieh - female	SW	C
390	ERR3374915	SAMEA5714975	Original Braunvieh - male	SW	C
391	ERR3374916	SAMEA5714976	Brown Swiss - female	SW	E
392	ERR3374917	SAMEA5714977	Holstein	AM	WHOLE
393	ERR3374918	SAMEA5714978	Holstein	AM	WHOLE
394	ERR3374919	SAMEA5714979	Brown Swiss - female	SW	E
395	ERR3374920	SAMEA5714980	Tyrolean Grey Cattle - male	AU	W
396	ERR3374921	SAMEA5714981	Tyrolean Grey Cattle - male	AU	W
397	ERR3376618	SAMEA5716181	Tyrolean Grey Cattle - male	AU	W
398	ERZ1738264	SAMEA5577008	Modern Sikias bos taurus.	EU	WHOLE
399	ERZ1738264	SAMEA5577009	Modern Lagune bos taurus.	AF	W
400	ERZ1738264	SAMEA5577012	Modern Wgyu bos taurus.	JP	WHOLE
401	ERZ1738264	SAMEA5577149	Modern Hariana bos indicus.	IN	N
402	ERZ1738264	SAMEA5577150	Modern Scottish Highland bos taurus.	SC	WHOLE
403	ERZ1738264	SAMEA5577151	Modern Togolese Somba bos taurus.	AF	W
