	run	biosample	breed	country	direction
0	ERZ1738264	SAMEA4051548	belted	SC	WHOLE
1	ERZ1738264	SAMEA4051550	belted	SC	WHOLE
2	ERR1742678	SAMEA4560529	crossbred	mix	Unspecified: Doesn't conform to standard
3	ERR1742679	SAMEA4560530	crossbred	mix	Unspecified: Doesn't conform to standard
4	ERR1742680	SAMEA4560531	Angus	SC	WHOLE
5	ERR1742681	SAMEA4560532	crossbred	mix	Unspecified: Doesn't conform to standard
6	ERR1742682	SAMEA4560533	Holstein x Simmental	AM	WHOLE
7	ERR1742683	SAMEA4560534	Simmental	SW	W
8	ERR1742684	SAMEA4560535	Angus	SC	WHOLE
9	ERR1742685	SAMEA4560536	Holstein x Simmental	AM	WHOLE
10	ERR1742686	SAMEA4560537	Holstein x Simmental	AM	WHOLE
11	ERR1742687	SAMEA4560538	Eringer	SW	S
12	ERR1742688	SAMEA4560539	Holstein x Simmental	AM	WHOLE
13	ERR1742689	SAMEA4560540	Holstein	AM	WHOLE
14	ERR1742690	SAMEA4560541	Brown Swiss	SW	E
15	ERR1742691	SAMEA4560542	Holstein x Simmental	AM	WHOLE
16	ERR1742692	SAMEA4560543	Holstein	AM	WHOLE
17	ERR1746308	SAMEA19309168	Simmental - female	SW	W
18	ERR1746309	SAMEA19309918	Simmental - female	SW	W
19	ERR1746310	SAMEA19310668	Simmental - male	SW	W
20	ERR1746311	SAMEA19311418	Holstein - female	AM	WHOLE
21	ERR1746312	SAMEA19312168	Holstein - male	AM	WHOLE
22	ERR1746313	SAMEA19312918	Brown Swiss - female	SW	E
23	ERR1746314	SAMEA19313668	Brown Swiss - female	SW	E
24	ERR1746315	SAMEA19314418	Brown Swiss - female	SW	E
25	ERR1746316	SAMEA19315168	Brown Swiss - female	SW	E
26	ERR1746317	SAMEA19316668	Holstein - female	AM	WHOLE
27	ERR1746318	SAMEA19317418	Holstein - male	AM	WHOLE
28	ERR1746319	SAMEA19318168	Holstein - female	AM	WHOLE
29	ERR1746320	SAMEA19318918	Brown Swiss - male	SW	E
30	ERR1746321	SAMEA19319668	Brown Swiss - male	SW	E
31	ERR1746322	SAMEA19320418	Holstein - female	AM	WHOLE
32	ERR1746323	SAMEA19321168	Holstein	AM	WHOLE
33	ERR1746324	SAMEA19321918	Holstein - female	AM	WHOLE
34	ERR1746325	SAMEA19322668	Holstein - male	AM	WHOLE
35	ERR1746326	SAMEA19323418	Brown Swiss - female	SW	E
36	ERR1746327	SAMEA19324918	Piemontese - female	IT	NW
37	ERR1746328	SAMEA19325668	Holstein - female	AM	WHOLE
38	ERR1746329	SAMEA19326418	Holstein - male	AM	WHOLE
39	ERR1746330	SAMEA19327168	Holstein - male	AM	WHOLE
40	ERR1746331	SAMEA19327918	Holstein - male	AM	WHOLE
41	ERR1746332	SAMEA19328668	Holstein - male	AM	WHOLE
42	ERR1746333	SAMEA19329418	Holstein - male	AM	WHOLE
43	ERR1746334	SAMEA19330168	Angler - male	DE/DU	N
44	ERR1746335	SAMEA19330918	Angler - male	DE/DU	N
45	ERR1746336	SAMEA19331668	Angler - male	DE/DU	N
46	ERR1746337	SAMEA19332418	Angler - male	DE/DU	N
47	ERR1746338	SAMEA19333168	Angler - male	DE/DU	N
48	ERR1747022	SAMEA19846918	Holstein - female	AM	WHOLE
49	ERR1747023	SAMEA19847668	Brown Swiss - female	SW	E
50	ERR1747024	SAMEA19849168	Eringer - female	SW	S
51	ERR1747025	SAMEA19849918	Scotish Highland Cattle - female	SC	WHOLE
52	ERR1747026	SAMEA19850668	Brown Swiss - female	SW	E
53	ERR1747027	SAMEA19851418	Holstein - female	AM	WHOLE
54	ERR1747028	SAMEA19852168	Simmental - female	SW	W
55	ERR1747029	SAMEA19852918	Simmental - female	SW	W
56	ERR1747030	SAMEA19853668	Simmental - female	SW	W
57	ERR1747031	SAMEA19864168	Holstein - female	AM	WHOLE
58	ERR1747032	SAMEA19864918	Brown Swiss - female	SW	E
59	ERR1747033	SAMEA19865668	Holstein - female	AM	WHOLE
60	ERR1747034	SAMEA19866418	Limousin x Holstein - female	FRxAM	mixed
